"Name","Ticker","FundId","Firm Name ID","Firm Name","Branding Name ID","Branding Name","Inception 
Date","Listing Date","Obsolete 
Date","Obsolete 
Type","Merged Into 
Security","Merged into 
Security ID","Converted From Date","Converted From Name","Converted From Date","Converted From Name","Investment Type","US Category Group","Morningstar Category","Index 
Fund","Fund of 
Funds","Active Non Transparent","Tax Managed","Advisor","Domicile","Manager Name","Oldest 
Share Class","Ticker of 
Fund's 
Oldest Share Class","Name of 
Fund's 
Oldest Share Class","Subadvised","Subadvisor","Sustainable Investment Overall 
2023-01","Sustainable Investment Overall","Sustainable Investment - Environmental Sector Overall 
2021-05","Sustainable Investment - ESG Fund Overall 
2021-05","Estimated Share Class Net Flow (Yearly) 
Year2019 
USD","Estimated Share Class Net Flow (Yearly) 
Year2020 
USD","Estimated Share Class Net Flow (Yearly) 
Year2021 
USD","Estimated Share Class Net Flow (Yearly) 
Year2022 
USD","Estimated Share Class Net Flow (Yearly) 
Year2023 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD","Net Assets - share class (Monthly) 
2020-01 
USD","Net Assets - share class (Monthly) 
2020-02 
USD","Net Assets - share class (Monthly) 
2020-03 
USD","Net Assets - share class (Monthly) 
2020-04 
USD","Net Assets - share class (Monthly) 
2020-05 
USD","Net Assets - share class (Monthly) 
2020-06 
USD","Net Assets - share class (Monthly) 
2020-07 
USD","Net Assets - share class (Monthly) 
2020-08 
USD","Net Assets - share class (Monthly) 
2020-09 
USD","Net Assets - share class (Monthly) 
2020-10 
USD","Net Assets - share class (Monthly) 
2020-11 
USD","Net Assets - share class (Monthly) 
2020-12 
USD","Net Assets - share class (Monthly) 
2021-01 
USD","Net Assets - share class (Monthly) 
2021-02 
USD","Net Assets - share class (Monthly) 
2021-03 
USD","Net Assets - share class (Monthly) 
2021-04 
USD","Net Assets - share class (Monthly) 
2021-05 
USD","Net Assets - share class (Monthly) 
2021-06 
USD","Net Assets - share class (Monthly) 
2021-07 
USD","Net Assets - share class (Monthly) 
2021-08 
USD","Net Assets - share class (Monthly) 
2021-09 
USD","Net Assets - share class (Monthly) 
2021-10 
USD","Net Assets - share class (Monthly) 
2021-11 
USD","Net Assets - share class (Monthly) 
2021-12 
USD","Net Assets - share class (Monthly) 
2022-01 
USD","Net Assets - share class (Monthly) 
2022-02 
USD","Net Assets - share class (Monthly) 
2022-03 
USD","Net Assets - share class (Monthly) 
2022-04 
USD","Net Assets - share class (Monthly) 
2022-05 
USD","Net Assets - share class (Monthly) 
2022-06 
USD","Net Assets - share class (Monthly) 
2022-07 
USD","Net Assets - share class (Monthly) 
2022-08 
USD","Net Assets - share class (Monthly) 
2022-09 
USD","Net Assets - share class (Monthly) 
2022-10 
USD","Net Assets - share class (Monthly) 
2022-11 
USD","Net Assets - share class (Monthly) 
2022-12 
USD","Net Assets - share class (Monthly) 
2023-01 
USD","Net Assets - share class (Monthly) 
2023-02 
USD","Net Assets - share class (Monthly) 
2023-03 
USD","Net Assets - share class (Monthly) 
2023-04 
USD","Net Assets - share class (Monthly) 
2023-05 
USD","Net Assets - share class (Monthly) 
2023-06 
USD","Net Assets - share class (Monthly) 
2023-07 
USD","Net Assets - share class (Monthly) 
2023-08 
USD","Net Assets - share class (Monthly) 
2023-09 
USD","Net Assets - share class (Monthly) 
2023-10 
USD","Net Assets - share class (Monthly) 
2023-11 
USD","Net Assets - share class (Monthly) 
2023-12 
USD"
"PGIM Growth Allocation R6","","FSUSA04YKO","0C00001YZ4","PGIM Investments","BN00000JRF","PGIM","2017-11-27","","2019-06-21","Merged","PGIM Quant Solutions Large-Cap Cor Eq R6","US74441J6881","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","PGIM Investments LLC","United States","","No","","PGIM Growth Allocation Z","Yes","PGIM Quantitative Solutions LLC","","","","","","","","","","440,164.00","450,842.00","453,685.00","467,446.00","438,611.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STAAR Disciplined Strategies A","","FSUSA002ZT","0C00001JRO","STAAR Investment Trust","BN000009XE","STAAR","2019-03-29","","2019-09-24","Liquidated","","","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Barrel Park Investments, LLC","United States","","No","","STAAR Disciplined Strategies Investor","No","","No","No","","","","","","","","","","2,987,343.00","2,972,081.00","2,854,504.00","2,834,283.00","2,827,096.00","2,720,830.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STAAR Disciplined Strategies C","","FSUSA002ZT","0C00001JRO","STAAR Investment Trust","BN000009XE","STAAR","2019-03-29","","2019-09-24","Liquidated","","","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Barrel Park Investments, LLC","United States","","No","","STAAR Disciplined Strategies Investor","No","","No","No","","","","","","","","","","2,574,981.00","2,530,924.00","2,464,145.00","2,481,777.00","2,432,989.00","2,242,508.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STAAR Disciplined Strategies Instl","","FSUSA002ZT","0C00001JRO","STAAR Investment Trust","BN000009XE","STAAR","2019-03-29","","2019-09-24","Liquidated","","","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Barrel Park Investments, LLC","United States","","No","","STAAR Disciplined Strategies Investor","No","","No","No","","","","","","","","","","9,213,258.00","8,816,429.00","7,543,351.00","7,497,252.00","7,434,318.00","7,136,824.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tactical Growth Allocation A","","FS0000E75K","0C0000BJTC","Tactical Fund Advisors","BN00000JZ6","Tactical Fund","2019-06-10","","2023-07-21","Liquidated","","","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","No","No","","Tactical Fund Advisors, LLC","United States","Drew Horter;Joseph Halpern;Joe Maas;David Moenning;Jeff Pietsch;Vance Howard;","No","TFAFX","Tactical Growth Allocation I","Yes","Heritage Capital Advisors, LLC;Synergy Financial Management, LLC;Howard Capital Management, Inc.;Exceed Advisory LLC;","No","No","","","30,192.27","-25,215.27","-2,815.83","","","","","","","","1,726.00","37,819.00","35,359.00","35,098.00","34,430.00","28,367.00","31,032.00","36,753.00","3,784.00","3,460.00","2,992.00","3,134.00","3,136.00","3,291.00","3,426.00","3,291.00","3,212.00","3,436.00","3,525.00","3,512.00","5,835.00","5,916.00","1,169.00","1,166.00","1,193.00","1,207.00","1,234.00","1,172.00","1,251.00","1,247.00","1,141.00","1,177.00","1,149.00","1,173.00","1,107.00","1,062.00","999.00","1,038.00","1,009.00","960.00","986.00","1,026.00","1,137.00","1,020.00","999.00","1,024.00","1,036.00","1,050.00","1,101.00","","","","","",""
"Meeder Aggressive Allocation Retail","","FSUSA002WO","0C00001IM8","Meeder Funds","BN000008SM","Meeder Funds","2000-02-29","","2018-12-03","Merged","Meeder Dynamic Allocation Retail","US58510R8795","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","No","No","","Meeder Asset Management Inc","United States","","Yes","","Meeder Aggressive Allocation Retail","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STAAR Disciplined Strategies Investor","","FSUSA002ZT","0C00001JRO","STAAR Investment Trust","BN000009XE","STAAR","1996-04-04","","2019-09-24","Liquidated","","","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Barrel Park Investments, LLC","United States","","Yes","","STAAR Disciplined Strategies Investor","No","","No","No","","","","","","","","1,337,252.00","1,331,039.00","1,339,031.00","1,302,893.00","1,301,783.00","1,333,029.00","1,329,977.00","1,233,562.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nationwide Inv Dest Agrsv C","","FSUSA0091H","0C00001YZ2","Nationwide","BN000009IQ","Nationwide","2001-03-01","","2024-02-09","Merged","Nationwide Inv Dest Agrsv A","US63867T8586","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Nationwide Fund Advisors","United States","Christopher C Graham;Andrew Urban;Keith P. Robinette;","No","NDASX","Nationwide Inv Dest Agrsv Svc","No","","No","No","","","-14,725,804.93","-7,362,834.98","-5,536,745.64","-1,298,445.10","","31,427,302.00","32,018,401.00","31,039,669.00","31,895,600.00","29,743,280.00","31,104,512.00","30,663,128.00","28,984,485.00","29,119,885.00","21,318,179.00","21,208,212.00","21,364,901.00","20,115,743.00","18,186,991.00","14,270,984.00","15,631,772.00","16,184,293.00","16,350,602.00","14,383,523.00","14,696,333.00","14,110,304.00","13,377,629.00","14,832,523.00","15,103,299.00","14,970,890.00","15,018,466.00","14,941,620.00","15,412,453.00","15,141,437.00","14,973,359.00","14,861,684.00","15,167,709.00","14,493,768.00","13,282,467.00","11,754,950.00","11,772,054.00","10,870,567.00","10,509,644.00","10,549,960.00","9,521,923.00","9,311,838.00","8,482,847.00","9,205,009.00","8,767,902.00","7,958,353.00","8,486,817.00","8,866,805.00","8,320,656.00","8,748,136.00","8,114,343.00","8,069,048.00","8,159,057.00","8,043,171.00","8,413,944.00","8,495,631.00","8,234,999.00","7,869,989.00","7,519,963.00","7,913,189.00",""
"Transamerica Asset Allocation Growth B","","FSUSA00E96","0C00004ALZ","Transamerica","BN00000A7A","Transamerica","2002-03-01","","2019-05-06","Liquidated","","","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Transamerica Asset Management, Inc","United States","Neill Nuttall;Michael Carapucci;Alexandra Wilson-Elizondo;","No","IAAAX","Transamerica Asset Allocation Growth A","Yes","Goldman Sachs Asset Management, L.P.","No","No","","","","","","","","3,153,823.00","3,061,128.00","2,961,653.00","2,912,133.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eaton Vance Tax-Managed Eq Aset Allc B","","FSUSA00F0F","0C00001YQS","Eaton Vance","BN000008MS","Eaton Vance","2002-03-04","","2019-10-15","Merged","Eaton Vance Tax-Managed Eq Aset Allc A","US2779111945","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","No","No","Yes","Eaton Vance Management","United States","Douglas Rogers","No","EAEAX","Eaton Vance Tax-Managed Eq Aset Allc A","No","","No","No","","","","","","","","807,111.00","650,437.00","618,687.00","552,734.00","447,735.00","445,876.00","396,728.00","277,064.00","193,429.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
